arduino_timestamp,system_timestamp,steering_normalized,throttle_normalized,steering_raw_us,throttle_raw_us,steering_period_us,throttle_period_us
33,1758998522.2636182,0.0,0.0,1592,0,0,0
66,1758998522.2639406,0.1977,0.0,1592,0,21288,0
99,1758998522.2642424,0.1977,0.0,1592,0,21288,0
132,1758998522.2645345,0.1977,0.0,1592,0,21288,0
165,1758998522.2648265,0.1965,0.0,1592,0,21296,0
198,1758998522.265118,0.1971,0.0,1592,0,21292,0
231,1758998522.2654226,0.1971,0.0,1592,0,21292,0
264,1758998522.2657151,0.1977,0.0,1592,0,21288,0
297,1758998522.2660067,0.1899,0.0,1588,0,21288,0
330,1758998522.2663112,0.1971,0.0,1592,0,21292,0
363,1758998522.2666056,0.1899,0.0,1588,0,21288,0
396,1758998522.266901,0.1977,0.0,1592,0,21288,0
429,1758998522.267197,0.1893,0.0,1588,0,21292,0
462,1758998522.2675056,0.1899,0.0,1588,0,21288,0
495,1758998522.2677975,0.1977,0.0,1592,0,21288,0
528,1758998522.2680948,0.1738,0.0,1580,0,21292,0
561,1758998522.2683892,0.1971,0.0,1592,0,21292,0
594,1758998522.2687163,0.1971,0.0,1592,0,21292,0
627,1758998522.2690136,0.1977,0.0,1592,0,21288,0
660,1758998522.269308,0.1893,0.0,1588,0,21292,0
693,1758998522.2696033,0.1977,0.0,1592,0,21288,0
726,1758998522.2699215,0.1971,0.0,1592,0,21292,0
759,1758998522.2702193,0.1977,0.0,1592,0,21288,0
792,1758998522.2705126,0.1977,0.0,1592,0,21288,0
825,1758998522.270805,0.1893,0.0,1588,0,21292,0
858,1758998522.2711205,0.1977,0.0,1592,0,21288,0
891,1758998522.2714174,0.1977,0.0,1592,0,21288,0
924,1758998522.2717102,0.1977,0.0,1592,0,21288,0
957,1758998522.272037,0.1738,0.0,1580,0,21292,0
990,1758998522.2723317,0.1977,0.0,1592,0,21288,0
1024,1758998522.2726336,0.1971,0.0,1592,0,21292,0
1057,1758998522.2729352,0.1893,0.0,1588,0,21292,0
1090,1758998522.2732515,0.1977,0.0,1592,0,21288,0
1123,1758998522.2737045,0.1893,0.0,1588,0,21292,0
1156,1758998522.2740111,0.1971,0.0,1592,0,21292,0
1189,1758998522.2743313,0.1893,0.0,1588,0,21292,0
1222,1758998522.2746334,0.1893,0.0,1588,0,21292,0
1255,1758998522.2749348,0.2054,0.0,1596,0,21288,0
1288,1758998522.2752585,0.1977,0.0,1592,0,21288,0
1321,1758998522.2755592,0.1977,0.0,1592,0,21288,0
1354,1758998522.2758706,0.1893,0.0,1588,0,21292,0
1387,1758998522.2761712,0.1971,0.0,1592,0,21292,0
1420,1758998522.276482,0.1971,0.0,1592,0,21292,0
1453,1758998522.2767808,0.1971,0.0,1592,0,21292,0
1486,1758998522.2770786,0.1893,0.0,1588,0,21292,0
1519,1758998522.2773905,0.1893,0.0,1588,0,21292,0
1552,1758998522.2776897,0.1977,0.0,1592,0,21288,0
1585,1758998522.2779872,0.1971,0.0,1592,0,21292,0
1618,1758998522.2782848,0.1977,0.0,1592,0,21288,0
1651,1758998522.2785854,0.1977,0.0,1592,0,21288,0
1684,1758998522.2788906,0.1971,0.0,1592,0,21292,0
1717,1758998522.2791967,0.1899,0.0,1588,0,21288,0
1750,1758998522.2795212,0.1977,0.0,1592,0,21288,0
1783,1758998522.2798204,0.1977,0.0,1592,0,21288,0
1816,1758998522.2801306,0.1971,0.0,1592,0,21292,0
1849,1758998522.2804341,0.1977,0.0,1592,0,21288,0
1882,1758998522.2807498,0.1977,0.0,1592,0,21288,0
1915,1758998522.2810495,0.1899,0.0,1588,0,21288,0
1948,1758998522.2813475,0.1977,0.0,1592,0,21288,0
1981,1758998522.2816617,0.1971,0.0,1592,0,21292,0
2014,1758998522.281961,0.1965,0.0,1592,0,21296,0
2048,1758998522.2822595,0.1893,0.0,1588,0,21292,0
2081,1758998522.2825577,0.1977,0.0,1592,0,21288,0
2114,1758998522.2828684,0.1977,0.0,1592,0,21288,0
2147,1758998522.2831695,0.1971,0.0,1592,0,21292,0
2180,1758998522.2834682,0.1888,0.0,1588,0,21296,0
2213,1758998522.283935,0.1905,0.0,1588,0,21284,0
2246,1758998522.2842395,0.1977,0.0,1592,0,21288,0
2279,1758998522.2845392,0.1971,0.0,1592,0,21292,0
2312,1758998522.2848496,0.1977,0.0,1592,0,21288,0
2345,1758998522.2851486,0.1977,0.0,1592,0,21288,0
2378,1758998522.2854471,0.1893,0.0,1588,0,21292,0
2411,1758998522.2857444,0.1971,0.0,1592,0,21292,0
2444,1758998522.2860687,0.1983,0.0,1592,0,21284,0
2477,1758998522.2863727,0.1899,0.0,1588,0,21288,0
2510,1758998522.2866755,0.1977,0.0,1592,0,21288,0
2543,1758998522.2869985,0.1977,0.0,1592,0,21288,0
2576,1758998522.2873032,0.1899,0.0,1588,0,21288,0
2609,1758998522.2876105,0.1893,0.0,1588,0,21292,0
2642,1758998522.287925,0.1977,0.0,1592,0,21288,0
2675,1758998522.2882516,0.1899,0.0,1588,0,21288,0
2708,1758998522.2885559,0.1893,0.0,1588,0,21292,0
2741,1758998522.2888649,0.1977,0.0,1592,0,21288,0
2774,1758998522.2891986,0.1977,0.0,1592,0,21288,0
2807,1758998522.289504,0.1977,0.0,1592,0,21288,0
2840,1758998522.2898073,0.1983,0.0,1592,0,21284,0
2873,1758998522.2901316,0.1977,0.0,1592,0,21288,0
2906,1758998522.2904344,0.1977,0.0,1592,0,21288,0
2939,1758998522.2907372,0.1971,0.0,1592,0,21292,0
2972,1758998522.2910423,0.1977,0.0,1592,0,21288,0
3005,1758998522.2913575,0.1977,0.0,1592,0,21288,0
3038,1758998522.2916625,0.1893,0.0,1588,0,21292,0
3072,1758998522.2919736,0.1977,0.0,1592,0,21288,0
3105,1758998522.2922988,0.1977,0.0,1592,0,21288,0
3138,1758998522.2926042,0.1899,0.0,1588,0,21288,0
3171,1758998522.2929084,0.1971,0.0,1592,0,21292,0
3204,1758998522.293213,0.1899,0.0,1588,0,21288,0
3237,1758998522.2935376,0.1977,0.0,1592,0,21288,0
3270,1758998522.2939894,0.1977,0.0,1592,0,21288,0
3303,1758998522.294291,0.1977,0.0,1592,0,21288,0
3336,1758998522.29469,0.1977,0.0,1592,0,21288,0
3369,1758998522.2949963,0.1977,0.0,1592,0,21288,0
3402,1758998522.2952998,0.1977,0.0,1592,0,21288,0
3435,1758998522.295616,0.1905,0.0,1588,0,21284,0
4756,1758998522.2960126,0.1893,0.0,1588,0,21292,0
4789,1758998522.2963145,0.1971,0.0,1592,0,21292,0
4822,1758998522.3169935,0.1971,0.0,1592,0,21292,0
4855,1758998522.3499289,0.1893,0.0,1588,0,21292,0
4888,1758998522.3829386,0.1977,0.0,1592,0,21288,0
4921,1758998522.415948,0.1977,0.0,1592,0,21288,0
4954,1758998522.4489737,0.1971,0.0,1592,0,21292,0
4987,1758998522.4811215,0.1965,0.0,1592,0,21296,0
5020,1758998522.5140324,0.1977,0.0,1592,0,21288,0
5053,1758998522.5470376,0.1977,0.0,1592,0,21288,0
5086,1758998522.5800428,0.1971,0.0,1592,0,21292,0
5120,1758998522.61586,0.1971,0.0,1592,0,21292,0
5153,1758998522.6488814,0.1977,0.0,1592,0,21288,0
5186,1758998522.6818922,0.1977,0.0,1592,0,21288,0
5219,1758998522.7148952,0.1971,0.0,1592,0,21292,0
5252,1758998522.747075,0.1893,0.0,1588,0,21292,0
5285,1758998522.7800155,0.1977,0.0,1592,0,21288,0
5318,1758998522.8130589,0.1977,0.0,1592,0,21288,0
5351,1758998522.8459933,0.1977,0.0,1592,0,21288,0
5384,1758998522.879001,0.1971,0.0,1592,0,21292,0
5417,1758998522.9111881,0.1971,0.0,1592,0,21292,0
5450,1758998522.9441726,0.1971,0.0,1592,0,21292,0
5483,1758998522.9770727,0.1971,0.0,1592,0,21292,0
5516,1758998523.010072,0.1893,0.0,1588,0,21292,0
5549,1758998523.0422986,0.1977,0.0,1592,0,21288,0
5582,1758998523.0788882,0.1977,0.0,1592,0,21288,0
5615,1758998523.111913,0.1971,0.0,1592,0,21292,0
5648,1758998523.1448767,0.1977,0.0,1592,0,21288,0
5681,1758998523.177052,0.1971,0.0,1592,0,21292,0
5714,1758998523.2099957,0.1899,0.0,1588,0,21288,0
5747,1758998523.2430923,0.1899,0.0,1588,0,21288,0
5780,1758998523.276015,0.1977,0.0,1592,0,21288,0
5813,1758998523.308959,0.1983,0.0,1592,0,21284,0
5846,1758998523.3410444,0.1971,0.0,1592,0,21292,0
5879,1758998523.3740578,0.1971,0.0,1592,0,21292,0
5912,1758998523.4071887,0.1977,0.0,1592,0,21288,0
5945,1758998523.440084,0.1971,0.0,1592,0,21292,0
5978,1758998523.4722764,0.1971,0.0,1592,0,21292,0
6011,1758998523.5087943,0.1977,0.0,1592,0,21288,0
6044,1758998523.5418086,0.1893,0.0,1588,0,21292,0
6077,1758998523.5748012,0.1971,0.0,1592,0,21292,0
6110,1758998523.6069524,0.1977,0.0,1592,0,21288,0
6144,1758998523.6399236,0.1971,0.0,1592,0,21292,0
6177,1758998523.6729987,0.1977,0.0,1592,0,21288,0
6210,1758998523.7060103,0.1977,0.0,1592,0,21288,0
6243,1758998523.739254,0.1977,0.0,1592,0,21288,0
6276,1758998523.7712479,0.1977,0.0,1592,0,21288,0
6309,1758998523.8041248,0.1965,0.0,1592,0,21296,0
6342,1758998523.8371108,0.1971,0.0,1592,0,21292,0
6375,1758998523.8701339,0.1893,0.0,1588,0,21292,0
6408,1758998523.90326,0.1899,0.0,1588,0,21288,0
6441,1758998523.938859,0.1977,0.0,1592,0,21288,0
6474,1758998523.971846,0.1893,0.0,1588,0,21292,0
6507,1758998524.0048459,0.1893,0.0,1588,0,21292,0
6540,1758998524.0370457,0.1971,0.0,1592,0,21292,0
6573,1758998524.0698452,0.1971,0.0,1592,0,21292,0
6606,1758998524.1029487,0.1977,0.0,1592,0,21288,0
6639,1758998524.1359544,0.1971,0.0,1592,0,21292,0
6672,1758998524.1689544,0.1971,0.0,1592,0,21292,0
6705,1758998524.2010813,0.1977,0.0,1592,0,21288,0
6738,1758998524.2340546,0.1893,0.0,1588,0,21292,0
6771,1758998524.2671459,0.1899,0.0,1588,0,21288,0
6804,1758998524.3000627,0.1977,0.0,1592,0,21288,0
6837,1758998524.3330665,0.1893,0.0,1588,0,21292,0
6870,1758998524.365081,0.1977,0.0,1592,0,21288,0
6903,1758998524.3981595,0.1899,0.0,1588,0,21288,0
6936,1758998524.4348423,0.1983,0.2146,1592,152,21284,1012
6969,1758998524.4678552,0.1977,0.2146,1592,152,21288,1012
7002,1758998524.499868,0.1977,0.2146,1592,152,21288,1012
7035,1758998524.5329514,0.1899,0.2146,1588,152,21288,1012
7068,1758998524.5659637,0.1977,0.2137,1592,152,21288,1016
7101,1758998524.598952,0.1971,0.2202,1592,156,21292,1012
7134,1758998524.6311815,0.1983,0.2202,1592,156,21284,1012
7168,1758998524.6640596,0.1977,0.2146,1592,152,21288,1012
7201,1758998524.6971486,0.1505,0.192,1568,136,21292,1012
7234,1758998524.7301548,0.1977,0.192,1592,136,21288,1012
7267,1758998524.7632904,0.1977,0.192,1592,136,21288,1012
7300,1758998524.7953892,0.1977,0.192,1592,136,21288,1012
7333,1758998524.8319004,0.1977,0.192,1592,136,21288,1012
7366,1758998524.8648973,0.1971,0.192,1592,136,21292,1012
7399,1758998524.8978956,0.1977,0.192,1592,136,21288,1012
7432,1758998524.9299338,0.1977,0.192,1592,136,21288,1012
7465,1758998524.9630032,0.1888,0.192,1588,136,21296,1012
7498,1758998524.9960358,0.1893,0.192,1588,136,21292,1012
7531,1758998525.029008,0.1744,0.192,1580,136,21288,1012
7564,1758998525.061186,0.1899,0.1976,1588,140,21288,1012
7597,1758998525.094067,0.1977,0.2137,1592,152,21288,1016
7630,1758998525.1272357,0.1977,0.2146,1592,152,21288,1012
7663,1758998525.1601138,0.1899,0.2146,1588,152,21288,1012
7696,1758998525.1931088,0.1977,0.2146,1592,152,21288,1012
7729,1758998525.2251997,0.1977,0.2146,1592,152,21288,1012
7762,1758998525.258227,0.1977,0.2362,1592,168,21288,1016
7795,1758998525.2913852,0.1744,0.2137,1580,152,21288,1016
7828,1758998525.3242393,0.1505,0.1969,1568,140,21292,1016
7861,1758998525.3564694,0.0735,0.1976,1528,140,21288,1012
7894,1758998525.3892736,0.0579,0.192,1520,136,21288,1012
7927,1758998525.4259617,-0.0275,0.192,1476,136,21288,1012
7960,1758998525.4589612,-0.0508,0.1912,1464,136,21288,1016
7993,1758998525.4912455,-0.1051,0.1912,1436,136,21288,1016
8026,1758998525.5239737,-0.1362,0.192,1420,136,21288,1012
8059,1758998525.5570767,-0.1434,0.1976,1416,140,21284,1012
8092,1758998525.5900764,-0.1279,0.1976,1424,140,21284,1012
8125,1758998525.6230788,-0.1678,0.1976,1404,140,21292,1012
8158,1758998525.6552646,-0.2449,0.1976,1364,140,21288,1012
8192,1758998525.6881638,-0.2532,0.1976,1360,140,21292,1012
8225,1758998525.7249029,-0.2759,0.1976,1348,140,21288,1012
8258,1758998525.7579114,-0.2832,0.1976,1344,140,21284,1012
8291,1758998525.7899694,-0.2449,0.1976,1364,140,21288,1012
8324,1758998525.8229103,-0.2294,0.1976,1372,140,21288,1012
8357,1758998525.8560324,-0.2294,0.1976,1372,140,21288,1012
8390,1758998525.889017,-0.2444,0.1976,1364,140,21284,1012
8423,1758998525.9212275,-0.2536,0.1976,1360,140,21296,1012
8456,1758998525.954021,-0.2299,0.1976,1372,140,21292,1012
8489,1758998525.9871125,-0.2444,0.1976,1364,140,21284,1012
8522,1758998526.020121,-0.1905,0.1976,1392,140,21288,1012
8555,1758998526.0531163,-0.1678,0.1976,1404,140,21292,1012
8588,1758998526.0852802,-0.144,0.1976,1416,140,21288,1012
8621,1758998526.118122,-0.1289,0.1976,1424,140,21292,1012
8654,1758998526.1513643,-0.0668,0.1976,1456,140,21292,1012
8687,1758998526.184255,-0.1284,0.1976,1424,140,21288,1012
8720,1758998526.2172441,-0.1284,0.1976,1424,140,21288,1012
8753,1758998526.2492614,-0.1678,0.1976,1404,140,21292,1012
8786,1758998526.2859578,-0.1672,0.1976,1404,140,21288,1012
8819,1758998526.3189745,-0.1434,0.1976,1416,140,21284,1012
8852,1758998526.3513174,-0.1672,0.1976,1404,140,21288,1012
8885,1758998526.3839855,-0.1905,0.1976,1392,140,21288,1012
8918,1758998526.4169846,-0.1905,0.1976,1392,140,21288,1012
8951,1758998526.4500837,-0.1367,0.1976,1420,140,21292,1012
8984,1758998526.4830718,-0.1057,0.1976,1436,140,21292,1012
9017,1758998526.515296,-0.1289,0.1976,1424,140,21292,1012
9050,1758998526.5481017,-0.1512,0.1969,1412,140,21284,1016
9083,1758998526.5811818,-0.1517,0.2362,1412,168,21288,1016
9116,1758998526.6141822,-0.144,0.2362,1416,168,21288,1016
9149,1758998526.6463861,-0.1434,0.2372,1416,168,21284,1012
