arduino_timestamp,system_timestamp,steering_normalized,throttle_normalized,steering_raw_us,throttle_raw_us,steering_period_us,throttle_period_us
33,1759031704.1667225,0.0,0.0,1592,0,0,0
66,1759031704.166916,0.1948,0.0,1592,0,21308,0
99,1759031704.1670923,0.1948,0.0,1592,0,21308,0
132,1759031704.1672924,0.1954,0.175,1592,124,21304,1012
165,1759031704.167503,0.1954,0.1976,1592,140,21304,1012
198,1759031704.1677053,0.1721,0.1912,1580,136,21304,1016
231,1759031704.1679056,0.1721,0.1912,1580,136,21304,1016
264,1759031704.1681051,0.1798,0.1912,1584,136,21304,1016
297,1759031704.1683052,0.1721,0.1912,1580,136,21304,1016
330,1759031704.168512,0.1715,0.1912,1580,136,21308,1016
363,1759031704.1687126,0.1715,0.1912,1580,136,21308,1016
396,1759031704.1689124,0.1715,0.1912,1580,136,21308,1016
429,1759031704.1691117,0.1721,0.1912,1580,136,21304,1016
462,1759031704.169322,0.1798,0.1912,1584,136,21304,1016
495,1759031704.1695237,0.1721,0.1912,1580,136,21304,1016
528,1759031704.1697314,0.1721,0.1912,1580,136,21304,1016
561,1759031704.1699312,0.1721,0.1912,1580,136,21304,1016
594,1759031704.170131,0.1721,0.1912,1580,136,21304,1016
627,1759031704.1703305,0.1798,0.1912,1584,136,21304,1016
660,1759031704.17053,0.1798,0.1976,1584,140,21304,1012
693,1759031704.1707454,0.1798,0.1912,1584,136,21304,1016
726,1759031704.1709464,0.11,0.2081,1548,148,21304,1016
759,1759031704.171146,0.1178,0.1912,1552,136,21304,1016
792,1759031704.1713457,0.079,0.1912,1532,136,21304,1016
825,1759031704.1715455,0.0707,0.2129,1528,152,21308,1020
858,1759031704.1717477,0.0707,0.1976,1528,140,21308,1012
891,1759031704.1719599,0.079,0.2081,1532,148,21304,1016
924,1759031704.1721637,0.0945,0.192,1540,136,21304,1012
957,1759031704.1723602,0.0945,0.0,1540,48,21304,1016
990,1759031704.1725554,0.0945,0.0,1540,48,21304,1016
1024,1759031704.1727562,0.0951,0.0,1540,48,21300,1016
1057,1759031704.172966,0.1178,0.0,1552,48,21304,1016
1090,1759031704.173166,0.1178,0.0,1552,48,21304,1016
1123,1759031704.1733706,0.11,0.0,1548,48,21304,1016
1156,1759031704.1735706,0.0951,0.0,1540,48,21300,1016
1189,1759031704.1737704,0.0707,0.0,1528,48,21308,1016
1222,1759031704.1739705,0.0324,0.0,1508,48,21304,1016
1255,1759031704.1741698,0.0407,0.0,1512,48,21300,1016
1288,1759031704.1743693,0.0402,0.0,1512,48,21304,1016
1321,1759031704.1745682,0.0557,0.0,1520,48,21304,1016
1354,1759031704.1747682,0.0557,0.0,1520,48,21304,1016
1387,1759031704.1749675,0.1178,0.0,1552,48,21304,1016
1420,1759031704.175186,0.156,0.0,1572,48,21308,1016
1453,1759031704.175387,0.1721,0.0,1580,48,21304,1016
1486,1759031704.1755862,0.1721,0.0,1580,48,21304,1016
1519,1759031704.175789,0.1798,0.0,1584,48,21304,1016
1552,1759031704.175989,0.1721,0.0,1580,48,21304,1016
1585,1759031704.1762002,0.1798,0.0,1584,48,21304,1016
1618,1759031704.1764011,0.1721,0.0,1580,48,21304,1016
1651,1759031704.1767077,0.1715,0.0,1580,48,21308,1016
1684,1759031704.17691,0.1715,0.0,1580,48,21308,1016
1717,1759031704.17711,0.1721,0.0,1580,48,21304,1016
1750,1759031704.1773272,0.1798,0.0,1584,48,21304,1016
1783,1759031704.177528,0.1709,0.0,1580,48,21312,1016
1816,1759031704.1777275,0.1804,0.0,1584,48,21300,1016
1849,1759031704.1779277,0.1715,0.0,1580,48,21308,1016
1882,1759031704.1781278,0.1721,0.0,1580,48,21304,1016
1915,1759031704.1783366,0.1721,0.0,1580,48,21304,1016
1948,1759031704.1785367,0.1804,0.0,1584,48,21300,1016
1981,1759031704.1787367,0.1793,0.0,1584,48,21308,1016
2014,1759031704.1789393,0.1333,0.0,1560,48,21304,1016
2048,1759031704.1791396,0.156,0.0,1572,48,21308,1016
2081,1759031704.17934,0.1566,0.0,1572,48,21304,1016
2114,1759031704.17954,0.1333,0.0,1560,48,21304,1016
2147,1759031704.179741,0.1333,0.0,1560,48,21304,1016
2180,1759031704.1799407,0.1172,0.0,1552,48,21308,1016
2213,1759031704.1801405,0.0945,0.0,1540,48,21304,1016
2246,1759031704.1803503,0.0479,0.0,1516,48,21304,1016
2279,1759031704.1805515,0.0557,0.0,1520,48,21304,1016
2312,1759031704.1807568,-0.0064,0.0,1488,48,21304,1016
2345,1759031704.1809623,-0.0307,0.0,1476,48,21312,1016
2378,1759031704.1811674,-0.0069,0.0,1488,48,21308,1016
2411,1759031704.181386,-0.0069,0.0,1488,48,21308,1016
2444,1759031704.1815925,-0.0064,0.0,1488,48,21304,1016
2477,1759031704.181795,0.0945,0.0,1540,48,21304,1016
2510,1759031704.1820009,0.1172,0.0,1552,48,21308,1016
2543,1759031704.1822035,0.1727,0.0,1580,48,21300,1016
2576,1759031704.1824055,0.1798,0.0,1584,48,21304,1016
2609,1759031704.1826155,0.1721,0.0,1580,48,21304,1016
2642,1759031704.1828172,0.1798,0.0,1584,48,21304,1016
2675,1759031704.1830206,0.1709,0.0,1580,48,21312,1016
2708,1759031704.183224,0.1882,0.0,1588,48,21300,1016
2741,1759031704.183426,0.1798,0.0,1584,48,21304,1016
2774,1759031704.1836393,0.1715,0.0,1580,48,21308,1016
2807,1759031704.1838446,0.1798,0.0,1584,48,21304,1016
2840,1759031704.1840475,0.1798,0.0,1584,48,21304,1016
2873,1759031704.184248,0.1715,0.0,1580,48,21308,1016
2906,1759031704.184449,0.1566,0.0,1572,48,21304,1016
2939,1759031704.1846592,0.1721,0.0,1580,48,21304,1016
2972,1759031704.184861,0.156,0.0,1572,48,21308,1016
3005,1759031704.185062,0.1333,0.0,1560,48,21304,1016
3038,1759031704.185333,0.1178,0.0,1552,48,21304,1016
3072,1759031704.185536,0.079,0.0,1532,48,21304,1016
3105,1759031704.1857383,0.079,0.0,1532,48,21304,1016
4723,1759031704.1878266,1.0,0.1969,2060,140,21304,1016
4756,1759031704.1880352,1.0,0.1912,2060,136,21300,1016
4789,1759031704.1886415,1.0,0.2193,2056,156,21304,1016
4822,1759031704.2216926,1.0,0.2362,2060,168,21308,1016
4855,1759031704.258486,1.0,0.2362,2060,168,21308,1016
4888,1759031704.2914777,1.0,0.2823,2060,200,21304,1012
4921,1759031704.3235683,1.0,0.3318,2060,236,21304,1016
4954,1759031704.356503,1.0,0.3557,2060,252,21304,1012
4987,1759031704.3895698,1.0,0.3712,2060,264,21304,1016
5020,1759031704.4225626,1.0,0.3487,2060,248,21308,1016
5053,1759031704.4547653,1.0,0.3487,2060,248,21308,1016
5086,1759031704.4875572,1.0,0.3557,2056,252,21304,1012
5120,1759031704.5206203,1.0,0.3487,2060,248,21304,1016
5153,1759031704.5537186,1.0,0.3487,2060,248,21304,1016
5186,1759031704.5867276,1.0,0.3487,2060,248,21300,1016
5219,1759031704.618888,1.0,0.2823,2056,200,21304,1012
5252,1759031704.6517427,1.0,0.1519,2060,108,21308,1016
5285,1759031704.6885142,1.0,0.1519,2060,108,21304,1016
5318,1759031704.7215447,1.0,0.1519,2040,108,21304,1016
5351,1759031704.7536492,0.84,0.1519,1924,108,21300,1016
5384,1759031704.7865446,0.6143,0.1519,1808,108,21304,1016
5417,1759031704.8195994,0.3971,0.1519,1696,108,21304,1016
5450,1759031704.85259,0.3583,0.1519,1676,108,21304,1016
5483,1759031704.885612,0.1715,0.1519,1580,108,21308,1016
5516,1759031704.9176335,0.1727,0.1519,1580,108,21300,1016
5549,1759031704.950627,0.1727,0.1519,1580,108,21300,1016
5582,1759031704.983662,0.1566,0.1519,1572,108,21304,1016
5615,1759031705.0167093,0.0939,0.1519,1540,108,21308,1016
5648,1759031705.0488925,0.0175,0.1519,1500,108,21300,1016
5681,1759031705.0817072,-0.0452,0.1519,1468,108,21304,1016
