arduino_timestamp,system_timestamp,steering_normalized,throttle_normalized,steering_raw_us,throttle_raw_us,steering_period_us,throttle_period_us
33,1758998831.3699455,0.1755,0.0,1580,0,21280,0
66,1758998831.3702435,0.1755,0.0,1580,0,21280,0
99,1758998831.370545,0.1755,0.0,1580,0,21280,0
132,1758998831.3708334,0.1761,0.0,1580,0,21276,0
165,1758998831.3711205,0.1755,0.0,1580,0,21280,0
198,1758998831.3714201,0.1755,0.0,1580,0,21280,0
231,1758998831.371707,0.1755,0.0,1580,0,21280,0
264,1758998831.3720076,0.1761,0.0,1580,0,21276,0
297,1758998831.372294,0.1755,0.0,1580,0,21280,0
330,1758998831.372583,0.1755,0.0,1580,0,21280,0
363,1758998831.3728678,0.1761,0.0,1580,0,21276,0
396,1758998831.3731549,0.1755,0.0,1580,0,21280,0
429,1758998831.3734407,0.1678,0.0,1576,0,21280,0
462,1758998831.3737292,0.1755,0.0,1580,0,21280,0
495,1758998831.3740153,0.1678,0.0,1576,0,21280,0
528,1758998831.3743007,0.1755,0.0,1580,0,21280,0
561,1758998831.3746014,0.175,0.0,1580,0,21284,0
594,1758998831.374893,0.1761,0.0,1580,0,21276,0
627,1758998831.3751812,0.1755,0.0,1580,0,21280,0
660,1758998831.3754678,0.1755,0.0,1580,0,21280,0
693,1758998831.3757572,0.1678,0.0,1576,0,21280,0
726,1758998831.3760617,0.1911,0.0,1588,0,21280,0
759,1758998831.3763497,0.1755,0.0,1580,0,21280,0
792,1758998831.3766358,0.1755,0.0,1580,0,21280,0
825,1758998831.3769252,0.175,0.0,1580,0,21284,0
858,1758998831.3772125,0.175,0.0,1580,0,21284,0
891,1758998831.3774981,0.1761,0.0,1580,0,21276,0
924,1758998831.3778,0.1755,0.0,1580,0,21280,0
957,1758998831.3780859,0.1755,0.0,1580,0,21280,0
990,1758998831.3783712,0.1755,0.0,1580,0,21280,0
1024,1758998831.3786647,0.1755,0.0,1580,0,21280,0
1057,1758998831.378973,0.16,0.0,1572,0,21280,0
1090,1758998831.3792663,0.1755,0.0,1580,0,21280,0
1123,1758998831.3795595,0.1755,0.0,1580,0,21280,0
1156,1758998831.3800309,0.1684,0.0,1576,0,21276,0
1189,1758998831.380325,0.1678,0.0,1576,0,21280,0
1222,1758998831.3806171,0.1755,0.0,1580,0,21280,0
1255,1758998831.3809123,0.1755,0.0,1580,0,21280,0
1288,1758998831.381207,0.1755,0.0,1580,0,21280,0
1321,1758998831.3815007,0.1755,0.0,1580,0,21280,0
1354,1758998831.381793,0.1755,0.0,1580,0,21280,0
1387,1758998831.3821025,0.1755,0.0,1580,0,21280,0
1420,1758998831.3823948,0.1672,0.0,1576,0,21284,0
1453,1758998831.3826876,0.1755,0.0,1580,0,21280,0
1486,1758998831.3829796,0.175,0.0,1580,0,21284,0
1519,1758998831.3832848,0.1672,0.0,1576,0,21284,0
1552,1758998831.3835776,0.1761,0.0,1580,0,21276,0
1585,1758998831.383877,0.1672,0.0,1576,0,21284,0
1618,1758998831.3841898,0.1761,0.0,1580,0,21276,0
1651,1758998831.384486,0.1761,0.0,1580,0,21276,0
1684,1758998831.3847616,0.1678,0.0,1576,0,21280,0
1717,1758998831.3850353,0.1761,0.0,1580,0,21276,0
1750,1758998831.3853273,0.1755,0.0,1580,0,21280,0
1783,1758998831.385604,0.1761,0.0,1580,0,21276,0
1816,1758998831.3858786,0.1755,0.0,1580,0,21280,0
1849,1758998831.386153,0.175,0.0,1580,0,21284,0
1882,1758998831.3864405,0.175,0.0,1580,0,21284,0
1915,1758998831.386715,0.1761,0.0,1580,0,21276,0
1948,1758998831.386989,0.1755,0.0,1580,0,21280,0
1981,1758998831.3872633,0.1678,0.0,1576,0,21280,0
2014,1758998831.3875496,0.1755,0.0,1580,0,21280,0
2048,1758998831.387824,0.1755,0.0,1580,0,21280,0
2081,1758998831.388105,0.1761,0.0,1580,0,21276,0
2114,1758998831.3883913,0.1755,0.0,1580,0,21280,0
2147,1758998831.3886664,0.1755,0.0,1580,0,21280,0
2180,1758998831.3889406,0.1755,0.0,1580,0,21280,0
2213,1758998831.3892174,0.1755,0.0,1580,0,21280,0
2246,1758998831.3894958,0.1755,0.0,1580,0,21280,0
