arduino_timestamp,system_timestamp,steering_normalized,throttle_normalized,steering_raw_us,throttle_raw_us,steering_period_us,throttle_period_us
12519,1758997809.0353193,0.1959,0.1976,1592,140,21300,1012
33,1758997832.1690803,0.181,0.0,1584,0,21296,0
66,1758997832.1695585,0.1959,0.0,1592,0,21300,0
99,1758997832.1698606,0.1959,0.0,1592,0,21300,0
132,1758997832.1701508,0.1965,0.0,1592,0,21296,0
165,1758997832.170439,0.1965,0.0,1592,0,21296,0
198,1758997832.1707277,0.1727,0.0,1580,0,21300,0
231,1758997832.1710193,0.1959,0.0,1592,0,21300,0
264,1758997832.1713076,0.1965,0.0,1592,0,21296,0
297,1758997832.1715953,0.1882,0.0,1588,0,21300,0
330,1758997832.1719084,0.1888,0.0,1588,0,21296,0
363,1758997832.1721973,0.1965,0.0,1592,0,21296,0
396,1758997832.1724882,0.1876,0.0,1588,0,21304,0
429,1758997832.172777,0.1959,0.0,1592,0,21300,0
462,1758997832.1730695,0.1965,0.0,1592,0,21296,0
495,1758997832.1733627,0.1965,0.0,1592,0,21296,0
528,1758997832.1736526,0.1959,0.0,1592,0,21300,0
561,1758997832.1739442,0.1965,0.0,1592,0,21296,0
594,1758997832.1742334,0.1965,0.0,1592,0,21296,0
627,1758997832.1745234,0.1965,0.0,1592,0,21296,0
660,1758997832.1748173,0.1959,0.0,1592,0,21300,0
693,1758997832.175126,0.1959,0.0,1592,0,21300,0
726,1758997832.175414,0.1965,0.0,1592,0,21296,0
759,1758997832.1757016,0.1882,0.0,1588,0,21300,0
792,1758997832.1759992,0.1965,0.0,1592,0,21296,0
825,1758997832.176304,0.1959,0.0,1592,0,21300,0
858,1758997832.1765985,0.1965,0.0,1592,0,21296,0
891,1758997832.176888,0.1959,0.0,1592,0,21300,0
924,1758997832.177181,0.1959,0.0,1592,0,21300,0
957,1758997832.17747,0.1965,0.0,1592,0,21296,0
990,1758997832.1777592,0.1965,0.0,1592,0,21296,0
1024,1758997832.1780562,0.1965,0.0,1592,0,21296,0
1057,1758997832.1783671,0.1882,0.0,1588,0,21300,0
1090,1758997832.1786642,0.1971,0.0,1592,0,21292,0
1123,1758997832.1790807,0.1965,0.0,1592,0,21296,0
1156,1758997832.1794124,0.1965,0.0,1592,0,21296,0
1189,1758997832.1797092,0.1965,0.0,1592,0,21296,0
1222,1758997832.1800122,0.1959,0.0,1592,0,21300,0
1255,1758997832.180312,0.1882,0.0,1588,0,21300,0
1288,1758997832.1806092,0.1965,0.0,1592,0,21296,0
1321,1758997832.180905,0.1965,0.0,1592,0,21296,0
1354,1758997832.1812007,0.1882,0.0,1588,0,21300,0
1387,1758997832.1815107,0.1971,0.0,1592,0,21292,0
1420,1758997832.1818068,0.1965,0.0,1592,0,21296,0
1453,1758997832.1821022,0.1965,0.0,1592,0,21296,0
1486,1758997832.1823971,0.1959,0.0,1592,0,21300,0
1519,1758997832.1826954,0.1959,0.0,1592,0,21300,0
1552,1758997832.1829908,0.1732,0.0,1580,0,21296,0
1585,1758997832.1832864,0.1965,0.0,1592,0,21296,0
1618,1758997832.183595,0.1965,0.0,1592,0,21296,0
1651,1758997832.1839,0.1959,0.0,1592,0,21300,0
1684,1758997832.1841967,0.1965,0.0,1592,0,21296,0
1717,1758997832.1845014,0.1965,0.0,1592,0,21296,0
1750,1758997832.1848059,0.1965,0.0,1592,0,21296,0
1783,1758997832.1851032,0.1888,0.0,1588,0,21296,0
1816,1758997832.185399,0.1971,0.0,1592,0,21292,0
1849,1758997832.1857154,0.1965,0.0,1592,0,21296,0
1882,1758997832.1860178,0.1965,0.0,1592,0,21296,0
1915,1758997832.186315,0.1959,0.0,1592,0,21300,0
1948,1758997832.1866102,0.1888,0.0,1588,0,21296,0
1981,1758997832.1869197,0.1965,0.0,1592,0,21296,0
2014,1758997832.1872156,0.1959,0.0,1592,0,21300,0
2048,1758997832.1875114,0.1888,0.0,1588,0,21296,0
2081,1758997832.1878111,0.1965,0.0,1592,0,21296,0
2114,1758997832.1881177,0.1882,0.0,1588,0,21300,0
2147,1758997832.1884158,0.1959,0.0,1592,0,21300,0
2180,1758997832.1887121,0.1959,0.0,1592,0,21300,0
2213,1758997832.18901,0.1965,0.0,1592,0,21296,0
2246,1758997832.1894295,0.1965,0.0,1592,0,21296,0
2279,1758997832.189747,0.1959,0.0,1592,0,21300,0
2312,1758997832.1900501,0.1965,0.0,1592,0,21296,0
2345,1758997832.190346,0.1965,0.0,1592,0,21296,0
2378,1758997832.1906416,0.1959,0.0,1592,0,21300,0
2411,1758997832.1909516,0.1965,0.0,1592,0,21296,0
2444,1758997832.191247,0.1965,0.0,1592,0,21296,0
2477,1758997832.191541,0.2049,0.0,1596,0,21292,0
2510,1758997832.1918468,0.2049,0.0,1596,0,21292,0
2543,1758997832.1921492,0.1965,0.0,1592,0,21296,0
2576,1758997832.1924458,0.1977,0.0,1592,0,21288,0
2609,1758997832.1927428,0.1965,0.0,1592,0,21296,0
2642,1758997832.1930423,0.1965,0.0,1592,0,21296,0
2675,1758997832.1933384,0.1965,0.0,1592,0,21296,0
2708,1758997832.1936338,0.1965,0.0,1592,0,21296,0
2741,1758997832.1939294,0.1971,0.0,1592,0,21292,0
2774,1758997832.1942677,0.1965,0.0,1592,0,21296,0
2807,1758997832.1945662,0.1732,0.0,1580,0,21296,0
2840,1758997832.1948674,0.1965,0.0,1592,0,21296,0
2873,1758997832.1951733,0.1959,0.0,1592,0,21300,0
2906,1758997832.195469,0.1888,0.0,1588,0,21296,0
2939,1758997832.1957643,0.1732,0.0,1580,0,21296,0
2972,1758997832.1960754,0.1965,0.0,1592,0,21296,0
3005,1758997832.1964087,0.1727,0.0,1580,0,21300,0
3038,1758997832.1967015,0.1965,0.0,1592,0,21296,0
3072,1758997832.196982,0.1965,0.0,1592,0,21296,0
3105,1758997832.1972444,0.1965,0.0,1592,0,21296,0
3138,1758997832.1975112,0.1727,0.0,1580,0,21300,0
3171,1758997832.197773,0.1965,0.0,1592,0,21296,0
3204,1758997832.1980472,0.1959,0.0,1592,0,21300,0
3237,1758997832.198309,0.1959,0.0,1592,0,21300,0
3270,1758997832.198573,0.1965,0.0,1592,0,21296,0
3303,1758997832.1988342,0.1965,0.0,1592,0,21296,0
3336,1758997832.1990948,0.1959,0.0,1592,0,21300,0
3369,1758997832.1994293,0.1965,0.0,1592,0,21296,0
3402,1758997832.1998205,0.1959,0.0,1592,0,21300,0
3435,1758997832.2001128,0.1888,0.0,1588,0,21296,0
3468,1758997832.2003772,0.1888,0.0,1588,0,21296,0
4756,1758997832.2013335,0.0102,0.2202,1496,156,21296,1012
4789,1758997832.2016354,0.0108,0.2146,1496,152,21292,1012
4756,1758997832.2024288,0.0102,0.2202,1496,156,21296,1012
4789,1758997832.2027462,0.0108,0.2146,1496,152,21292,1012
4822,1758997832.2134068,0.0102,0.2146,1496,152,21296,1012
4855,1758997832.2501657,0.0097,0.2137,1496,152,21300,1016
4888,1758997832.2831657,0.0108,0.2146,1496,152,21292,1012
4921,1758997832.3152037,-0.0208,0.2146,1480,152,21296,1012
4954,1758997832.3481817,-0.0203,0.2163,1480,152,21292,1004
4987,1758997832.3812685,-0.0286,0.2193,1476,156,21296,1016
5020,1758997832.4142802,-0.0751,0.2137,1452,152,21296,1016
5053,1758997832.4464376,-0.0663,0.2202,1456,156,21288,1012
5086,1758997832.4793117,-0.13,0.2137,1424,152,21300,1016
5120,1758997832.5123901,-0.1212,0.2146,1428,152,21292,1012
5153,1758997832.5491354,-0.1527,0.2137,1412,152,21296,1016
5186,1758997832.5813217,-0.145,0.2137,1416,152,21296,1016
5219,1758997832.6141434,-0.1445,0.2146,1416,152,21292,1012
5252,1758997832.6471536,-0.1527,0.2137,1412,152,21296,1016
5285,1758997832.6802788,-0.1445,0.2146,1416,152,21292,1012
5318,1758997832.7132273,-0.1527,0.2146,1412,152,21296,1012
5351,1758997832.7453284,-0.1527,0.2137,1412,152,21296,1016
5384,1758997832.778261,-0.1678,0.2137,1404,152,21292,1016
5417,1758997832.8118174,-0.1683,0.2081,1404,148,21296,1016
5450,1758997832.8444033,-0.1605,0.2146,1408,152,21296,1012
5483,1758997832.876545,-0.1615,0.2137,1408,152,21304,1016
5516,1758997832.9093828,-0.1683,0.2146,1404,152,21296,1012
5549,1758997832.9423654,-0.1678,0.1912,1404,136,21292,1016
5582,1758997832.975463,-0.1683,0.1912,1404,136,21296,1016
5615,1758997833.0084798,-0.1533,0.1912,1412,136,21300,1016
5648,1758997833.0407765,-0.1527,0.1912,1412,136,21296,1016
5681,1758997833.0734782,-0.1217,0.192,1428,136,21296,1012
5714,1758997833.110182,-0.0912,0.192,1444,136,21300,1012
5747,1758997833.1432047,-0.0757,0.192,1452,136,21300,1012
5780,1758997833.1752768,-0.0668,0.192,1456,136,21292,1012
5813,1758997833.2081945,-0.0674,0.192,1456,136,21296,1012
5846,1758997833.2412372,-0.0907,0.192,1444,136,21296,1012
5879,1758997833.2742844,-0.1217,0.192,1428,136,21296,1012
5912,1758997833.3064787,-0.1533,0.192,1412,136,21300,1012
5945,1758997833.3393168,-0.145,0.192,1416,136,21296,1012
5978,1758997833.3723145,-0.145,0.192,1416,136,21296,1012
6011,1758997833.4053826,-0.1455,0.192,1416,136,21300,1012
6044,1758997833.4384062,-0.1295,0.192,1424,136,21296,1012
6077,1758997833.4704828,-0.1295,0.192,1424,136,21296,1012
6110,1758997833.5034006,-0.1145,0.192,1432,136,21300,1012
6144,1758997833.5364935,-0.1139,0.192,1432,136,21296,1012
6177,1758997833.5732236,-0.0829,0.192,1448,136,21296,1012
6210,1758997833.6053333,-0.1222,0.192,1428,136,21300,1012
6243,1758997833.6382365,-0.1067,0.192,1436,136,21300,1012
6276,1758997833.67125,-0.1062,0.192,1436,136,21296,1012
6309,1758997833.7043397,-0.1067,0.192,1436,136,21300,1012
6342,1758997833.7373314,-0.1057,0.192,1436,136,21292,1012
6375,1758997833.7693489,-0.1062,0.192,1436,136,21296,1012
6408,1758997833.8023424,-0.1062,0.192,1436,136,21296,1012
6441,1758997833.8354332,-0.1139,0.192,1432,136,21296,1012
6474,1758997833.868445,-0.1062,0.192,1436,136,21296,1012
6507,1758997833.9005783,-0.1067,0.1237,1436,88,21300,1016
6540,1758997833.9334605,-0.1067,0.2137,1436,152,21300,1016
6573,1758997833.9664536,-0.1067,0.2137,1436,152,21300,1016
6606,1758997833.999577,-0.1217,0.2137,1428,152,21296,1016
6639,1758997834.032584,-0.1145,0.2146,1432,152,21300,1012
6672,1758997834.0646248,-0.1295,0.2146,1424,152,21296,1012
6705,1758997834.0983083,-0.1062,0.2202,1436,156,21296,1012
6738,1758997834.1342974,-0.1139,0.2137,1432,152,21296,1016
6771,1758997834.1671622,-0.1062,0.2146,1436,152,21296,1012
6804,1758997834.199314,-0.0441,0.1912,1468,136,21296,1016
6837,1758997834.2323027,-0.0053,0.1976,1488,140,21296,1012
6870,1758997834.265866,0.033,0.1976,1508,140,21300,1012
6903,1758997834.2983947,0.0568,0.1976,1520,140,21296,1012
6936,1758997834.3305144,0.1488,0.1976,1568,140,21304,1012
6969,1758997834.363401,0.2126,0.1976,1600,140,21292,1012
7002,1758997834.3964036,0.2741,0.1976,1632,140,21296,1012
7035,1758997834.4294946,0.3983,0.1976,1696,140,21296,1012
