arduino_timestamp,system_timestamp,steering_normalized,throttle_normalized,steering_raw_us,throttle_raw_us,steering_period_us,throttle_period_us
33,1759015043.6395674,0.0,0.0,1596,0,0,0
66,1759015043.6398854,0.1962,0.0,1596,0,21352,0
99,1759015043.6401963,0.1962,0.0,1596,0,21352,0
132,1759015043.6404912,0.1967,0.0,1596,0,21348,0
165,1759015043.6407816,0.2045,0.0,1600,0,21348,0
198,1759015043.6410918,0.1962,0.0,1596,0,21352,0
231,1759015043.6413984,0.1967,0.0,1596,0,21348,0
264,1759015043.641697,0.1962,0.0,1596,0,21352,0
297,1759015043.6419985,0.1729,0.0,1584,0,21352,0
330,1759015043.6422904,0.1962,0.0,1596,0,21352,0
363,1759015043.6426408,0.1729,0.0,1584,0,21352,0
396,1759015043.6429389,0.1724,0.0,1584,0,21356,0
429,1759015043.643236,0.1962,0.0,1596,0,21352,0
462,1759015043.6435354,0.1962,0.0,1596,0,21352,0
495,1759015043.6438677,0.1962,0.0,1596,0,21352,0
528,1759015043.64418,0.1962,0.0,1596,0,21352,0
561,1759015043.6444783,0.1967,0.0,1596,0,21348,0
594,1759015043.644798,0.1956,0.0,1596,0,21356,0
627,1759015043.6451035,0.1956,0.0,1596,0,21356,0
660,1759015043.6453948,0.1962,0.0,1596,0,21352,0
693,1759015043.645688,0.1967,0.0,1596,0,21348,0
726,1759015043.646014,0.1956,0.0,1596,0,21356,0
759,1759015043.646319,0.2033,0.0,1600,0,21356,0
792,1759015043.6466155,0.1962,0.0,1596,0,21352,0
825,1759015043.6469128,0.1956,0.0,1596,0,21356,0
858,1759015043.6472683,0.1962,0.0,1596,0,21352,0
891,1759015043.6475704,0.1967,0.0,1596,0,21348,0
924,1759015043.6478727,0.1962,0.0,1596,0,21352,0
957,1759015043.648189,0.1967,0.0,1596,0,21348,0
990,1759015043.6484883,0.1956,0.0,1596,0,21356,0
1024,1759015043.6487913,0.1956,0.0,1596,0,21356,0
1057,1759015043.6491258,0.1884,0.0,1592,0,21352,0
1090,1759015043.6496365,0.1962,0.0,1596,0,21352,0
1123,1759015043.6499486,0.1962,0.0,1596,0,21352,0
1156,1759015043.650255,0.1962,0.0,1596,0,21352,0
