arduino_timestamp,system_timestamp,steering_normalized,throttle_normalized,steering_raw_us,throttle_raw_us,steering_period_us,throttle_period_us
33,1758994560.7645943,0.0,0.0,1592,0,0,0
66,1758994560.7649367,0.1907,0.0,1592,0,21336,0
99,1758994560.765236,0.1913,0.0,1592,0,21332,0
132,1758994560.7655263,0.183,0.0,1588,0,21336,0
165,1758994560.7658153,0.1991,0.0,1596,0,21332,0
198,1758994560.7661037,0.1913,0.0,1592,0,21332,0
231,1758994560.7664044,0.1991,0.0,1596,0,21332,0
264,1758994560.7666938,0.1991,0.0,1596,0,21332,0
297,1758994560.7669823,0.1991,0.0,1596,0,21332,0
330,1758994560.7672713,0.1991,0.0,1596,0,21332,0
363,1758994560.7675676,0.1902,0.0,1592,0,21340,0
396,1758994560.76787,0.1907,0.0,1592,0,21336,0
429,1758994560.768162,0.1985,0.0,1596,0,21336,0
462,1758994560.768452,0.1991,0.0,1596,0,21332,0
495,1758994560.7689571,0.1985,0.0,1596,0,21336,0
528,1758994560.7692528,0.1991,0.0,1596,0,21332,0
561,1758994560.7695444,0.1985,0.0,1596,0,21336,0
594,1758994560.7698421,0.1907,0.0,1592,0,21336,0
627,1758994560.7701337,0.1907,0.0,1592,0,21336,0
660,1758994560.7704225,0.1991,0.0,1596,0,21332,0
693,1758994560.770727,0.1675,0.0,1580,0,21336,0
726,1758994560.7710142,0.1907,0.0,1592,0,21336,0
759,1758994560.7712998,0.1991,0.0,1596,0,21332,0
792,1758994560.7715855,0.1913,0.0,1592,0,21332,0
825,1758994560.771889,0.1985,0.0,1596,0,21336,0
858,1758994560.7721817,0.1985,0.0,1596,0,21336,0
891,1758994560.7724679,0.1913,0.0,1592,0,21332,0
924,1758994560.7727733,0.1907,0.0,1592,0,21336,0
957,1758994560.7730603,0.1913,0.0,1592,0,21332,0
990,1758994560.7733462,0.1913,0.0,1592,0,21332,0
1024,1758994560.7736394,0.1991,0.0,1596,0,21332,0
1057,1758994560.7739391,0.1913,0.0,1592,0,21332,0
1090,1758994560.774233,0.1913,0.0,1592,0,21332,0
1123,1758994560.7746608,0.1991,0.0,1596,0,21332,0
1156,1758994560.7749734,0.1991,0.0,1596,0,21332,0
1189,1758994560.7752676,0.1907,0.0,1592,0,21336,0
1222,1758994560.7755609,0.1913,0.0,1592,0,21332,0
1255,1758994560.7758636,0.1913,0.0,1592,0,21332,0
1288,1758994560.7761676,0.1991,0.0,1596,0,21332,0
1321,1758994560.7764614,0.1985,0.0,1596,0,21336,0
